TID,FertilityRate_Pct_Change,ConsumerPriceIndex_Pct_Change,GrossDomesticProduct_Pct_Change
2009,,,
2010,2.3026315789473673,1.717764731463367,5.156494977062898
2011,2.786709539121124,-6.348867037195383,1.9879617869567712
2012,2.3983315954118734,-1.3238986532755126,2.6043640695218917
2013,0.8146639511201537,-3.498727735368956,1.8311345646438104
2014,0.60606060606061,1.3483550068915884,2.668808623102037
2015,0.40160642570281624,1.3245033112582627,2.786190187765003
2016,0.29999999999998916,4.190009337068168,3.5061873895108953
2017,1.0967098703888345,-1.876330234121204,4.0421292342726955
2018,0.7889546351084853,-1.2671956161881437,2.7496580027359885
2019,0.7827788649706457,-1.7517488581834995,2.5606887675853063
2020,0.3883495145631022,-1.4534541602918671,0.4283859800952028
2021,1.934235976789167,2.949782050516503,9.897022706708603
2022,7.685009487666039,-9.929818456006023,11.017015604171565
2023,3.2599118942731264,-3.670551870693539,-1.6527758157931838
